Heading,Paracraph,ListItime
Web Scraping Practice,Welcome to the web scraping task! Use your skills to extract the required data from this page.,Laptop
Available Products,Sharp Objects,Smartphone
Product Table,£47.82,Tablet
Watch This Video,✔ In stock,Smartwatch
Contact Us,"In a Dark, Dark Wood",
Product Information,£19.63,
Featured Products,✔ In stock,
,The Past Never Ends,
,£56.50,
,✔ In stock,
,A Murder in Time,
,£16.64,
, Out stock,
,Wireless Headphones,
,$49.99,
,"Available colors: Black, White, Blue",
,Smart Speaker,
,$89.99,
,"Available colors: Grey, Black",
,Smart Watch,
,$149.99,
,"Available colors: Black, Silver, Gold",
,© 2024 Web Scraping Practice. All Rights Reserved.,
